msw@titan-batch7:~/scratch/test> aprun -n 1 ./bandwidthTest --mode=shmoo
[CUDA Bandwidth Test] - Starting...
Running on...

 Device 0: Tesla K20X
 Shmoo Mode

.................................................................................
 Host to Device Bandwidth, 1 Device(s)
 PINNED Memory Transfers
   Transfer Size (Bytes)	Bandwidth(MB/s)
   1024				119.0
   2048				254.1
   3072				520.0
   4096				484.9
   5120				598.0
   6144				705.7
   7168				803.6
   8192				906.8
   9216				1003.7
   10240			1448.1
   11264			1170.0
   12288			1255.4
   13312			1344.8
   14336			1423.7
   15360			1491.9
   16384			1567.4
   17408			2115.7
   18432			1707.7
   19456			1769.2
   20480			1827.5
   22528			1960.9
   24576			2571.1
   26624			2139.3
   28672			2276.9
   30720			2379.4
   32768			2478.9
   34816			2568.3
   36864			2646.4
   38912			2719.9
   40960			2800.2
   43008			2865.7
   45056			2943.7
   47104			2998.5
   49152			3064.4
   51200			3118.8
   61440			3377.8
   71680			4002.7
   81920			3784.4
   92160			3934.1
   102400			4501.6
   204800			4806.2
   307200			5131.9
   409600			5275.6
   512000			5389.2
   614400			5463.0
   716800			5510.9
   819200			5553.0
   921600			5582.1
   1024000			5592.7
   1126400			5684.5
   2174976			5729.3
   3223552			5774.7
   4272128			5791.3
   5320704			5804.4
   6369280			5811.6
   7417856			5819.2
   8466432			5827.3
   9515008			5805.2
   10563584			5831.6
   11612160			5834.2
   12660736			5830.4
   13709312			5836.7
   14757888			5837.5
   15806464			5839.7
   16855040			5840.5
   18952192			5840.8
   21049344			5845.0
   23146496			5844.5
   25243648			5846.2
   27340800			5848.6
   29437952			5849.0
   31535104			5849.7
   33632256			5849.4
   37826560			5851.4
   42020864			5852.8
   46215168			5852.8
   50409472			5853.2
   54603776			5854.6
   58798080			5854.7
   62992384			5855.3
   67186688			5855.5

.................................................................................
 Device to Host Bandwidth, 1 Device(s)
 PINNED Memory Transfers
   Transfer Size (Bytes)	Bandwidth(MB/s)
   1024				140.1
   2048				287.1
   3072				420.0
   4096				556.3
   5120				682.0
   6144				801.3
   7168				918.7
   8192				1027.5
   9216				1132.7
   10240			1719.9
   11264			1335.5
   12288			1428.0
   13312			1523.2
   14336			1609.0
   15360			1697.1
   16384			1779.4
   17408			1856.9
   18432			1936.3
   19456			2016.1
   20480			2722.1
   22528			2216.3
   24576			2285.2
   26624			2469.6
   28672			2525.3
   30720			2693.2
   32768			2716.7
   34816			2895.9
   36864			2992.8
   38912			3673.1
   40960			3158.2
   43008			3239.9
   45056			3318.9
   47104			3387.1
   49152			3463.4
   51200			3528.7
   61440			3821.9
   71680			4677.1
   81920			4264.0
   92160			4439.6
   102400			4583.5
   204800			5384.7
   307200			5788.5
   409600			5922.5
   512000			6099.7
   614400			6108.9
   716800			6142.8
   819200			6316.5
   921600			6255.0
   1024000			6270.9
   1126400			6290.9
   2174976			6394.8
   3223552			6436.6
   4272128			6482.5
   5320704			6493.7
   6369280			6491.2
   7417856			6505.9
   8466432			6508.2
   9515008			6523.2
   10563584			6525.5
   11612160			6522.0
   12660736			6527.7
   13709312			6531.1
   14757888			6532.7
   15806464			6534.3
   16855040			6537.5
   18952192			6540.3
   21049344			6542.8
   23146496			6543.3
   25243648			6543.7
   27340800			6544.2
   29437952			6546.5
   31535104			6547.9
   33632256			6548.2
   37826560			6549.7
   42020864			6550.6
   46215168			6551.5
   50409472			6551.6
   54603776			6552.3
   58798080			6552.8
   62992384			6553.2
   67186688			6553.5

.................................................................................
 Device to Device Bandwidth, 1 Device(s)
 PINNED Memory Transfers
   Transfer Size (Bytes)	Bandwidth(MB/s)
   1024				204.2
   2048				475.8
   3072				722.3
   4096				956.4
   5120				1194.6
   6144				1444.5
   7168				1677.5
   8192				1928.3
   9216				2176.0
   10240			2431.9
   11264			2674.1
   12288			2912.6
   13312			3181.3
   14336			3406.0
   15360			3659.3
   16384			2367.4
   17408			4212.9
   18432			4448.4
   19456			4651.4
   20480			4948.5
   22528			5489.0
   24576			6012.0
   26624			6595.0
   28672			6835.9
   30720			7622.0
   32768			8077.5
   34816			8638.2
   36864			9187.4
   38912			9745.6
   40960			10334.8
   43008			10883.1
   45056			11578.9
   47104			11880.2
   49152			12755.1
   51200			13320.5
   61440			16240.8
   71680			20434.4
   81920			23923.4
   92160			27929.5
   102400			32100.7
   204800			68194.2
   307200			91152.2
   409600			109745.4
   512000			125401.3
   614400			137564.2
   716800			149164.7
   819200			128633.9
   921600			116846.7
   1024000			119502.9
   1126400			124637.4
   2174976			145591.1
   3223552			153077.1
   4272128			158578.1
   5320704			162366.9
   6369280			164084.9
   7417856			165642.3
   8466432			167618.2
   9515008			168455.4
   10563584			169199.1
   11612160			169671.1
   12660736			170573.7
   13709312			171023.6
   14757888			170904.1
   15806464			171371.0
   16855040			172069.2
   18952192			172022.8
   21049344			172609.5
   23146496			173332.9
   25243648			173304.9
   27340800			173374.8
   29437952			174102.0
   31535104			174100.4
   33632256			173988.4
   37826560			174437.5
   42020864			174824.8
   46215168			175180.1
   50409472			174809.4
   54603776			175499.3
   58798080			175553.4
   62992384			175557.0
   67186688			175754.2

Result = PASS
